question,choices,correct_answer,unsure_option,sources,ideal,distractors
Which of the following is not an ABA catabolism genes that is upregulated in DANA1 knockout lines of Arabidopsis?,(A) CYP707A1|(B) UGT71B1|(C) MYB44|(D) CYP707A4|(E) Insufficient information to answer the question,C,E,https://doi.org/10.1038/s44319-023-00030-4,MYB44,CYP707A4|UGT71B1|CYP707A1
Which of the following mRNA expression changes can be expected after U2OS cells are treated with BMH-21?,(A) Insufficient information to answer the question|(B) upregulation of POLR2A mRNA|(C) upregulation of MYC mRNA|(D) upregulation of 47S rRNA|(E) upregulation of POL1A mRNA,B,A,https://doi.org/10.1093/nar/gkae069,upregulation of POLR2A mRNA,upregulation of MYC mRNA|upregulation of 47S rRNA|upregulation of POL1A mRNA
Which of the following mutations in PARP1 has been shown to impair its interaction with MRE11 in immunoprecipitation assays?,(A) R548K|(B) K548D|(C) Insufficient information to answer the question|(D) K547R|(E) K548R,E,C,https://doi.org/10.1073/pnas.2322520121,K548R,K547R|K548D|R548K
Which of the following mutations in the SARS-CoV2 BA.1 spike protein has been shown to increase antibody neutralization potency?,(A) S446G|(B) K444T|(C) L452R|(D) Insufficient information to answer the question|(E) R346T,A,D,https://doi.org/10.1038/s41586-024-07385-1,S446G,R346T|K444T|L452R
Which of the following mutations in the native nanobody targeting the RBD of the spike domain of SARS-Cov-2 pulls the CDR2 loop closer to RBD in computational models?,(A) Insufficient information to answer the question|(B) R52D|(C) S57D|(D) G56H|(E) S54E,D,A,https://doi.org/10.1101/2024.05.13.593833,G56H,R52D|S54E|S57D
Which of the following mutations in yeast Pbs2 increases its interaction with SH3?,(A) K85W|(B) P97A|(C) N92S|(D) Insufficient information to answer the question|(E) S83F|(F) N92H|(G) I87W,B,D,https://doi.org/10.1101/2024.05.13.593936,P97A,N92S|S83F|K85W|I87W|N92H
Which of the following mutations protects bacteriophage RexA from proteolytic cleavage?,(A) D215W|(B) R219A|(C) K221A|(D) G140A|(E) Insufficient information to answer the question|(F) G140P,A,E,https://doi.org/10.1093/nar/gkae212,D215W,R219A|K221A|G140A|G140P
Which of the following processes are impacted by the S118L mutation of the potassium channel Kir6.2 in humans?,(A) metabolic inhibition|(B) Insufficient information to answer the question|(C) ATP sensitivity|(D) channel stimulation by MgADP|(E) membrane trafficking,E,B,https://doi.org/10.1007/s00125-024-06103-w,membrane trafficking,ATP sensitivity|metabolic inhibition|channel stimulation by MgADP
Which of the following properties have been found to scale log-linearly between the nitroplast and its host cell?,(A) Genome length|(B) mutation rate|(C) ribosome size|(D) Volume|(E) Insufficient information to answer the question,D,E,https://doi.org/10.1016/j.cell.2024.02.016,Volume,Genome length|ribosome size|mutation rate
Which of the following proteins can be used to identify Post-AIRE mTECs?,(A) Pdpn|(B) Tnfaip2|(C) Slc12a2|(D) Dynlrb2|(E) Snap25|(F) Saa1|(G) Insufficient information to answer the question,A,G,https://doi.org/10.1016/j.cell.2022.05.018,Pdpn,Tnfaip2|Saa1|Snap25|Dynlrb2|Slc12a2
Which of the following proteins has the greatest reduction in association with mutant drosophila SMN D20V protein vs. WT SMN?,(A) SkpA|(B) Cul1|(C) Insufficient information to answer the question|(D) SmD1|(E) HspA,D,C,https://doi.org/10.1101/2024.05.15.594402,SmD1,Cul1|SkpA|HspA
Which of the following residues of KBTBD4-PR contributes to the expansion of the 2b-2c loops and is inserted into the narrow tunnel leading to the HDAC1 catalytic site?,(A) Tyr312|(B) Thr310|(C) Insufficient information to answer the question|(D) Leu314|(E) Arg312|(F) Thr311,E,C,https://doi.org/10.1101/2024.05.14.593970,Arg312,Tyr312|Leu314|Thr310|Thr311
Which of the following ribosomal RNA modification enzymes have been found to promote large ribosomal subunit assembly even when expressed as a catalytically dead mutant?,(A) RlmM|(B) Insufficient information to answer the question|(C) RlmB|(D) RlmN|(E) RluC,C,B,https://doi.org/10.1093/nar/gkae222,RlmB,RlmN|RlmM|RluC
"Which of the following subunits of the Rev1 protein, when knocked out in Drosophila that also lack the Rev3 domain of polymerase zeta, lead to the greatest increase in sensitivity to DNA alkylation induced by methyl methanesulfonate?",(A) Insufficient information to answer the question|(B) BRCT|(C) DTD|(D) UBM,C,A,https://doi.org/10.1101/2024.02.13.580051,DTD,BRCT|UBM
Which of the following synthetically designed matrix proteins produces the thickest fibers?,(A) BUD60|(B) Insufficient information to answer the question|(C) BUD40|(D) BUD80|(E) All are equal,C,B,https://doi.org/10.1101/2024.05.14.594155,BUD40,BUD60|BUD80|All are equal
Which of the following training characteristics within the target brain region could explain inter individual differences in clinical response to real-time functional magnetic resonance imaging neurofeedback in patients with major depressive disorder?,(A) Mean left amygdala activation|(B) Insufficient information to answer the question|(C) Signal amplitude|(D) Signal changes in the left amygdala|(E) None of the above,E,B,https://doi.org/10.1101/2024.05.01.592108,None of the above,Signal amplitude|Mean left amygdala activation|Signal changes in the left amygdala
Which of the following transcriptions factors most strongly promotes macrophage polarization towards a hypoxia state in glioma-associated TAMs?,(A) SMAD5|(B) HIF1A|(C) MYCN|(D) Insufficient information to answer the question|(E) TBX21|(F) p50|(G) SOX15|(H) JUN,F,D,https://doi.org/10.1016/j.ccell.2024.03.013,p50,SMAD5|TBX21|SOX15|MYCN|JUN|HIF1A
Which of the following viscoelastic properties is specific to the nuclei and cytoplasm of immortalized human astrocytes (IHAs) and not those of invasive human glioblastoma cells (GBM)?,(A) Insufficient information to answer the question|(B) The nucleus is less stiff than the cytoplasm.|(C) The nucleus is more stiff than the cytoplasm.|(D) The relaxation time of the nucleus is higher than that of the cytoplasm.|(E) The viscosity of nucleus is approximately the same as the viscosity of the cytoplasm.,C,A,https://doi.org/10.1016/j.bpj.2024.03.034,The nucleus is more stiff than the cytoplasm.,The nucleus is less stiff than the cytoplasm.|The relaxation time of the nucleus is higher than that of the cytoplasm.|The viscosity of nucleus is approximately the same as the viscosity of the cytoplasm.
Which of the following was not upregulated by 5-FU treatment in the HCT116 cell line?,(A) TYMS|(B) polB|(C) ITPA|(D) Insufficient information to answer the question|(E) Rev1,A,D,https://doi.org/10.1093/nar/gkae102,TYMS,ITPA|polB|Rev1
Which of these glycoRNAs does NOT show an increase in M0 macrophages upon stimulation with LPS?,(A) U8|(B) Y5|(C) U1|(D) Insufficient information to answer the question|(E) U35a,A,D,https://doi.org/10.1038/s41587-023-01801-z,U8,U1|U35a|Y5
Which of these ions had the strongest enhancing effect on the cleavage activity of endonuclease R.DraR1 from Deinococcus radiodurans?,(A) Mg2+|(B) Ni2+|(C) Ca2+|(D) Zn2+|(E) Insufficient information to answer the question|(F) Mn2+,F,E,https://doi.org/10.3390/ijms25031660,Mn2+,Ni2+|Zn2+|Mg2+|Ca2+
Which one of the following residues in the intrinsically disordered region of RNA binding protein Unkempt silences it's transcriptional activity when mutated to alanine?,(A) L353|(B) L522|(C) Insufficient information to answer the question|(D) L625|(E) L622,B,C,https://doi.org/10.1038/s41467-024-47449-4,L522,L622|L625|L353
Which over-the-counter antihistamine has been found to be as effective as anti-VISTA antibodies in prolonging survival of mice and inhibiting lung metastasis when combined with ICB therapy?,(A) Levocabastine|(B) Insufficient information to answer the question|(C) Doxylamine|(D) Cyproheptadine|(E) Fexofenadine,E,B,https://doi.org/10.1016/j.ccell.2021.11.002,Fexofenadine,Doxylamine|Cyproheptadine|Levocabastine
Which pathway(s) is primarily responsible for translation initiation of multitail mRNAs?,(A) Cap-Independent Translational Enhancers|(B) IRES-Dependent|(C) eIF4E-eIF4G|(D) 4EGI-1|(E) eIF4E-eIF4G and 4EGI-1|(F) Insufficient information to answer the question,C,F,https://doi.org/10.1038/s41587-024-02174-7,eIF4E-eIF4G,IRES-Dependent|Cap-Independent Translational Enhancers|4EGI-1|eIF4E-eIF4G and 4EGI-1
Which poly(A) oligo(s) demonstrates highest resistance to RNA degredation?,(A) modified linear poly(A)|(B) unmodified branch poly(A)|(C) unmodified linear poly(A)|(D) Insufficient information to answer the question|(E) unmodified branch poly(A) and modified branch poly(A)|(F) modified branch poly(A)|(G) modified linear poly(A) and modified branch poly(A),F,D,https://doi.org/10.1038/s41587-024-02174-7,modified branch poly(A),unmodified linear poly(A)|modified linear poly(A)|unmodified branch poly(A)|modified linear poly(A) and modified branch poly(A)|unmodified branch poly(A) and modified branch poly(A)
Which reactive astrocyte marker has been shown to increase in expression in RhoAnesKO mice?,(A) Insufficient information to answer the question|(B) Nestin|(C) Synemin|(D) GFAP|(E) Vimentin,D,A,https://doi.org/10.1016/j.neuron.2021.08.014,GFAP,Nestin|Synemin|Vimentin
Which symptoms of COVID-19 are associated with the highest levels of KIR+ CD8+ T cells?,(A) Myocarditis|(B) Vasculitis|(C) Deep vein thrombosis|(D) Acute respiratory distress syndrome|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1126/science.abi9591,Vasculitis,Acute respiratory distress syndrome|Myocarditis|Deep vein thrombosis
Which three residues with evolutionary divergence in the G domains of RAS isoforms also impose selectivity constraints of pan-KRAS non-covalent inhibition?,"(A) 12, 13, 61|(B) 85, 121, 122|(C) 12, 13, 141|(D) Insufficient information to answer the question|(E) 32, 35, 38|(F) 95, 121, 122",F,D,https://doi.org/10.1038/s41586-023-06123-3,"95, 121, 122","85, 121, 122|12, 13, 141|32, 35, 38|12, 13, 61"
Which transcription factor has been found to be enriched in heart and skeletal muscle of Rattus norvegicus rats that have undergone endurance training?,(A) MEF2C|(B) Insufficient information to answer the question|(C) ETS1|(D) ZNF143|(E) KLF3|(F) GABPA,A,B,https://doi.org/10.1038/s41586-023-06877-w,MEF2C,GABPA|ETS1|KLF3|ZNF143
Which two transcription factors were used to identify the T4/T5 neuron subtypes in the optic lobe that split into T4/T5a-b and T4/T5c-d subtypes in the Fly Cell Atlas?,"(A) Insufficient information to answer the question|(B) dimm, Pdf|(C) acj6, SoxN|(D) omb, dac",C,A,https://doi.org/10.1126/science.abk2432,"acj6, SoxN","omb, dac|dimm, Pdf"
